06-11 08:53:05.437 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6523400;49.201589833;16.6140605;229.9;0.12861111
06-11 08:53:06.317 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6523500;49.201585667;16.614056167;229.9;0.5092999955999999
06-11 08:53:06.427 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6523500;49.201585667;16.614056167;230.0;0.5092999955999999
06-11 08:53:07.327 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6523600;49.2015895;16.614055833;230.0;0.3292444416
06-11 08:53:07.427 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6523600;49.2015895;16.614055833;230.0;0.3292444416
06-11 08:53:08.307 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6523700;49.201586667;16.6140535;230.0;0.39097777440000003
06-11 08:53:08.437 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6523700;49.201586667;16.6140535;230.1;0.39097777440000003
06-11 08:53:09.317 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6523800;49.201586333;16.614050833;230.1;0.1749111096
06-11 08:53:09.567 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6523800;49.201586333;16.614050833;230.1;0.1749111096
06-11 08:53:10.377 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6523900;49.2015885;16.614041833;230.1;0.6018999948
06-11 08:53:10.647 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6523900;49.2015885;16.614041833;230.3;0.6018999948
06-11 08:53:11.307 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524000;49.2015875;16.614041833;230.3;0.23664444240000002
06-11 08:53:11.427 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524000;49.2015875;16.614041833;230.7;0.23664444240000002
06-11 08:53:12.317 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524100;49.201588333;16.614029;230.7;0.9157111032
06-11 08:53:12.467 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524100;49.201588333;16.614029;231.1;0.9157111032
06-11 08:53:13.307 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524200;49.201587167;16.614028333;231.1;0.2932333308
06-11 08:53:13.447 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524200;49.201587167;16.614028333;230.8;0.2932333308
06-11 08:53:14.297 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524300;49.201585;16.6140245;230.8;0.46299999599999997
06-11 08:53:14.437 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524300;49.201585;16.6140245;231.2;0.46299999599999997
06-11 08:53:15.327 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524400;49.201588;16.614016;231.2;0.8694111036
06-11 08:53:15.427 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524400;49.201588;16.614016;231.4;0.8694111036
06-11 08:53:16.317 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524500;49.201587667;16.6140085;231.4;0.6224777724
06-11 08:53:16.437 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524500;49.201587667;16.6140085;231.7;0.6224777724
06-11 08:53:17.307 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524600;49.201586667;16.614011333;231.7;0.1337555544
06-11 08:53:17.437 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524600;49.201586667;16.614011333;232.1;0.1337555544
06-11 08:53:18.307 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524700;49.2015875;16.6140075;232.1;0.5298777732
